rank,sample,twist_mid_deg,twist_tip_deg,alpha_deg,CL,CD,LD
0,190,1.7464617406681064,1.6577760563356403,4.370348549828254,0.41574402544096345,0.016578382937610676,25.077477520306434
1,90,1.9577841836334304,0.741267926453208,4.418932361347457,0.4083982656495477,0.01628993577103902,25.070587839616685
2,106,1.9881249410171487,1.302557103664233,4.241673039609236,0.40556567636309404,0.01621955403399135,25.00473659837683
3,35,1.2913243924336406,1.57753192489281,4.294555168763097,0.39666904611776466,0.015927976093661998,24.90392023350699
4,107,0.9007635828679961,1.2835819397497659,4.0892913042034,0.36532643499229894,0.014931221082831717,24.467284555337553
5,156,0.23406244040319724,-1.3254176369223476,4.8319193121851844,0.35858089441263086,0.014732286989379492,24.339798340280222
6,80,0.24682285540469007,-0.689840854416258,4.435347185160671,0.3396017934641234,0.014168760790773657,23.968348289517568
7,53,1.7692541003232938,-2.705387047297794,4.541679763097248,0.3506470527923476,0.014631335916098706,23.96548440983672
8,152,-1.7992010871821682,0.3770719678770753,4.784318381033172,0.3332158038201896,0.013997188652153842,23.80590932229205
9,151,1.673074886143099,-4.55458605029121,4.956329335422394,0.3468553083417609,0.014792329180785622,23.448322715283126
